"COORD_REF_SYS_CODE","COORD_REF_SYS_NAME","GCS_COORD_REF_SYS_NAME","DATUM_CODE","DATUM_NAME","GREENWICH_DATUM","UOM_CODE","ELLIPSOID_CODE","PRIME_MERIDIAN_CODE","SHOW_CRS","DEPRECATED","COORD_SYS_CODE","COORD_OP_METHOD_CODE","DX","DY","DZ","RX","RY","RZ","DS"
4286,Qatar 1948,GCS_Qatar_1948,6286,Qatar 1948,6286,9122,7020,8901,1,0,6422,,,,,,,,
4287,Qornoq,GCS_Qornoq,6287,Qornoq,6287,9108,7022,8901,1,1,6402,9603,164,138,-189,,,,
4288,Loma Quintana,GCS_Loma_Quintana,6288,Loma Quintana,6288,9122,7022,8901,1,0,6422,,,,,,,,
4289,Amersfoort,GCS_Amersfoort,6289,Amersfoort,6289,9122,7004,8901,1,0,6422,,,,,,,,
4291,SAD69,GCS_SAD69,6291,South American Datum 1969,6291,9108,7036,8901,1,1,6402,,,,,,,,
4292,Sapper Hill 1943,GCS_Sapper_Hill_1943,6292,Sapper Hill 1943,6292,9122,7022,8901,1,0,6422,9603,-355,21,72,,,,
4293,Schwarzeck,GCS_Schwarzeck,6293,Schwarzeck,6293,9122,7046,8901,1,0,6422,,,,,,,,
4294,Segora,GCS_Segora,6294,Segora,6294,9108,7004,8901,1,1,6402,,,,,,,,
4295,Serindung,GCS_Serindung,6295,Serindung,6295,9122,7004,8901,1,0,6422,,,,,,,,
4296,Sudan,GCS_Sudan,6296,Sudan,6296,9108,7011,8901,1,1,6402,,,,,,,,
4297,Tananarive,GCS_Tananarive,6297,Tananarive 1925,6297,9122,7022,8901,1,0,6422,9603,-189,-242,-91,,,,
4298,Timbalai 1948,GCS_Timbalai_1948,6298,Timbalai 1948,6298,9122,7016,8901,1,0,6422,,,,,,,,
4299,TM65,GCS_TM65,6299,TM65,6299,9122,7002,8901,1,0,6422,,,,,,,,
4300,TM75,GCS_TM75,6300,Geodetic Datum of 1965,6300,9122,7002,8901,1,0,6422,,,,,,,,
4301,Tokyo,GCS_Tokyo,6301,Tokyo,6301,9122,7004,8901,1,0,6422,,,,,,,,
4302,Trinidad 1903,GCS_Trinidad_1903,6302,Trinidad 1903,6302,9122,7007,8901,1,0,6422,,,,,,,,
4303,"TC(1948)","GCS_TC(1948)",6303,Trucial Coast 1948,6303,9122,7020,8901,1,0,6422,,,,,,,,
4304,Voirol 1875,GCS_Voirol_1875,6304,Voirol 1875,6304,9122,7011,8901,1,0,6422,9603,-73,-247,227,,,,
4306,Bern 1938,GCS_Bern_1938,6306,Bern 1938,6306,9122,7004,8901,1,0,6422,,,,,,,,
4307,Nord Sahara 1959,GCS_Nord_Sahara_1959,6307,Nord Sahara 1959,6307,9122,7012,8901,1,0,6422,,,,,,,,
4308,RT38,GCS_RT38,6308,Stockholm 1938,6308,9122,7004,8901,1,0,6422,,,,,,,,
4309,Yacare,GCS_Yacare,6309,Yacare,6309,9122,7022,8901,1,0,6422,9603,-155,171,37,,,,
4310,Yoff,GCS_Yoff,6310,Yoff,6310,9122,7011,8901,1,0,6422,,,,,,,,
4311,Zanderij,GCS_Zanderij,6311,Zanderij,6311,9122,7022,8901,1,0,6422,9603,-265,120,-358,,,,
4312,MGI,GCS_MGI,6312,Militar-Geographische Institut,6312,9122,7004,8901,1,0,6422,,,,,,,,
4313,Belge 1972,GCS_Belge_1972,6313,Reseau National Belge 1972,6313,9122,7022,8901,1,0,6422,,,,,,,,
4314,DHDN,GCS_DHDN,6314,Deutsches Hauptdreiecksnetz,6314,9122,7004,8901,1,0,6422,,,,,,,,
4315,Conakry 1905,GCS_Conakry_1905,6315,Conakry 1905,6315,9122,7011,8901,1,0,6422,9603,-23,259,-9,,,,
4316,Dealul Piscului 1933,GCS_Dealul_Piscului_1933,6316,Dealul Piscului 1933,6316,9122,7022,8901,1,0,6422,,,,,,,,
4317,Dealul Piscului 1970,GCS_Dealul_Piscului_1970,6317,Dealul Piscului 1970,6317,9122,7024,8901,1,0,6422,,,,,,,,
4318,NGN,GCS_NGN,6318,National Geodetic Network,6318,9122,7030,8901,1,0,6422,9603,-3.2,-5.7,2.8,,,,
4319,KUDAMS,GCS_KUDAMS,6319,Kuwait Utility,6319,9122,7019,8901,1,0,6422,,,,,,,,
4322,WGS 72,GCS_WGS_72,6322,World Geodetic System 1972,6322,9122,7043,8901,1,0,6422,,,,,,,,
4324,WGS 72BE,GCS_WGS_72BE,6324,WGS 72 Transit Broadcast Ephemeris,6324,9122,7043,8901,1,0,6422,9606,0,0,1.9,0,0,0.814,-0.38
4326,WGS 84,GCS_WGS_1984,6326,World Geodetic System 1984,6326,9122,7030,8901,1,0,6422,,,,,,,,
4326,WGS84,GCS_WGS_1984,6326,World Geodetic System 1984,6326,9122,7030,8901,1,0,6422,,,,,,,,
4326,WGS_1984,GCS_WGS_1984,6326,World Geodetic System 1984,6326,9122,7030,8901,1,0,6422,,,,,,,,
4600,Anguilla 1957,GCS_Anguilla_1957,6600,Anguilla 1957,6600,9122,7012,8901,1,0,6422,,,,,,,,
4601,Antigua 1943,GCS_Antigua_1943,6601,Antigua 1943,6601,9122,7012,8901,1,0,6422,,,,,,,,
4602,Dominica 1945,GCS_Dominica_1945,6602,Dominica 1945,6602,9122,7012,8901,1,0,6422,9603,725,685,536,,,,
4603,Grenada 1953,GCS_Grenada_1953,6603,Grenada 1953,6603,9122,7012,8901,1,0,6422,9603,72,213.7,93,,,,
4604,Montserrat 1958,GCS_Montserrat_1958,6604,Montserrat 1958,6604,9122,7012,8901,1,0,6422,9603,174,359,365,,,,
4605,St. Kitts 1955,GCS_St._Kitts_1955,6605,St. Kitts 1955,6605,9122,7012,8901,1,0,6422,,,,,,,,
4606,St. Lucia 1955,GCS_St._Lucia_1955,6606,St. Lucia 1955,6606,9122,7012,8901,1,0,6422,9603,-149,128,296,,,,
4607,St. Vincent 1945,GCS_St._Vincent_1945,6607,St. Vincent 1945,6607,9122,7012,8901,1,0,6422,9603,195.671,332.517,274.607,,,,
4608,"NAD27(76)","GCS_NAD27(76)",6608,"North American Datum 1927 (1976)",6608,9122,7008,8901,1,0,6422,,,,,,,,
4609,"NAD27(CGQ77)","GCS_NAD27(CGQ77)",6609,"North American Datum 1927 (CGQ77)",6609,9122,7008,8901,1,0,6422,,,,,,,,
4611,Hong Kong 1980,GCS_Hong_Kong_1980,6611,Hong Kong 1980,6611,9122,7022,8901,1,0,6422,9606,-162.619,-276.959,-161.764,0.067753,-2.243649,-1.158827,-1.094246
4612,JGD2000,GCS_JGD_2000,6612,Japanese Geodetic Datum 2000,6612,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4613,Segara,GCS_Segara,6613,Gunung Segara,6613,9122,7004,8901,1,0,6422,,,,,,,,
4614,QND95,GCS_QND95,6614,Qatar National Datum 1995,6614,9122,7022,8901,1,0,6422,9606,-119.4248,-303.65872,-11.00061,1.164298,0.174458,1.096259,3.657065
4615,Porto Santo,GCS_Porto_Santo,6615,Porto Santo 1936,6615,9122,7022,8901,1,0,6422,9603,-499,-249,314,,,,
4616,Selvagem Grande,GCS_Selvagem_Grande,6616,Selvagem Grande,6616,9122,7022,8901,1,0,6422,,,,,,,,
4617,"NAD83(CSRS)","GCS_NAD83(CSRS)",6140,NAD83 Canadian Spatial Reference System,6140,9122,7019,8901,1,0,6422,,,,,,,,
4618,SAD69,GCS_SAD69,6618,South American Datum 1969,6618,9122,7050,8901,1,0,6422,,,,,,,,
4619,SWEREF99,GCS_SWEREF99,6619,SWEREF99,6619,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4620,Point 58,GCS_Point_58,6620,Point 58,6620,9122,7012,8901,1,0,6422,9603,-106,-129,165,,,,
4621,Fort Marigot,GCS_Fort_Marigot,6621,Fort Marigot,6621,9122,7022,8901,1,0,6422,9603,137,248,-430,,,,
4622,Guadeloupe 1948,GCS_Guadeloupe_1948,6622,Guadeloupe 1948,6622,9122,7022,8901,1,0,6422,,,,,,,,
4623,CSG67,GCS_CSG67,6623,Centre Spatial Guyanais 1967,6623,9122,7022,8901,1,0,6422,9603,-186,230,110,,,,
4624,RGFG95,GCS_RGFG95,6624,Reseau Geodesique Francais Guyane 1995,6624,9122,7019,8901,1,0,6422,9603,2,2,-2,,,,
4625,Martinique 1938,GCS_Martinique_1938,6625,Martinique 1938,6625,9122,7022,8901,1,0,6422,,,,,,,,
4626,Reunion 1947,GCS_Reunion_1947,6626,Reunion 1947,6626,9122,7022,8901,1,0,6422,,,,,,,,
4627,RGR92,GCS_RGR92,6627,Reseau Geodesique de la Reunion 1992,6627,9122,7019,8901,1,0,6422,9603,0,0,0,,,,
4628,Tahiti 52,GCS_Tahiti_52,6628,Tahiti 52,6628,9122,7022,8901,1,0,6422,9603,162,117,154,,,,
4629,Tahaa 54,GCS_Tahaa_54,6629,Tahaa 54,6629,9122,7022,8901,1,0,6422,,,,,,,,
4630,IGN72 Nuku Hiva,GCS_IGN72_Nuku_Hiva,6630,IGN72 Nuku Hiva,6630,9122,7022,8901,1,0,6422,,,,,,,,
4631,K0 1949,GCS_K0_1949,6631,K0 1949,6631,9122,7022,8901,1,1,6422,9603,145,-187,103,,,,
4632,Combani 1950,GCS_Combani_1950,6632,Combani 1950,6632,9122,7022,8901,1,0,6422,9603,-382,-59,-262,,,,
4633,IGN56 Lifou,GCS_IGN56_Lifou,6633,IGN56 Lifou,6633,9122,7022,8901,1,0,6422,,,,,,,,
4634,IGN72 Grand Terre,GCS_IGN72_Grand_Terre,6634,IGN72 Grande Terre,6634,9108,7022,8901,1,1,6402,,,,,,,,
